epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,53.7612,0.93966,0.61866,0.98975,0.87797,0.8798,0.92803,0.67335,0.94217,0.68069,0.9496,0.000812,0.000812,0.000812
62,54.4848,0.86486,0.5884,0.93769,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007922,0.0007922,0.0007922
63,55.2238,0.84955,0.6003,0.94296,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007724,0.0007724,0.0007724
64,55.9747,0.85817,0.5931,0.96219,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007526,0.0007526,0.0007526
65,56.6902,0.85649,0.62655,0.95965,0.89736,0.89439,0.94074,0.69242,0.87602,0.6157,0.93422,0.0007328,0.0007328,0.0007328
66,57.429,0.83367,0.59212,0.93481,0.89207,0.90892,0.94517,0.71537,0.79232,0.57396,0.91237,0.000713,0.000713,0.000713
67,58.1637,0.8579,0.59021,0.94323,0.89207,0.90892,0.94517,0.71537,0.79232,0.57396,0.91237,0.0006932,0.0006932,0.0006932
68,58.8842,0.92493,0.6157,0.9645,0.89207,0.90892,0.94517,0.71537,0.79232,0.57396,0.91237,0.0006734,0.0006734,0.0006734
69,59.6302,0.88709,0.61853,0.97688,0.89207,0.90892,0.94517,0.71537,0.79232,0.57396,0.91237,0.0006536,0.0006536,0.0006536
70,60.3875,0.90078,0.58482,0.96258,0.89179,0.90632,0.94971,0.72054,0.7748,0.5547,0.91004,0.0006338,0.0006338,0.0006338
71,61.1586,0.87139,0.55772,0.93207,0.89179,0.90632,0.94971,0.72054,0.7748,0.5547,0.91004,0.000614,0.000614,0.000614
72,61.8813,0.78273,0.52446,0.91668,0.89179,0.90632,0.94971,0.72054,0.7748,0.5547,0.91004,0.0005942,0.0005942,0.0005942
73,62.606,0.85179,0.55473,0.94302,0.89179,0.90632,0.94971,0.72054,0.7748,0.5547,0.91004,0.0005744,0.0005744,0.0005744
74,63.3645,0.89077,0.68723,0.98008,0.89279,0.90026,0.95426,0.72542,0.78375,0.55459,0.91393,0.0005546,0.0005546,0.0005546
75,64.0748,0.78703,0.57484,0.94204,0.89279,0.90026,0.95426,0.72542,0.78375,0.55459,0.91393,0.0005348,0.0005348,0.0005348
76,64.8174,0.79837,0.55047,0.94249,0.89279,0.90026,0.95426,0.72542,0.78375,0.55459,0.91393,0.000515,0.000515,0.000515
77,65.5458,0.86507,0.56716,0.97105,0.89279,0.90026,0.95426,0.72542,0.78375,0.55459,0.91393,0.0004952,0.0004952,0.0004952
78,66.2998,0.79259,0.54946,0.92933,0.90487,0.90013,0.9542,0.72938,0.77344,0.54123,0.90827,0.0004754,0.0004754,0.0004754
79,67.0308,0.81039,0.57695,0.92025,0.90487,0.90013,0.9542,0.72938,0.77344,0.54123,0.90827,0.0004556,0.0004556,0.0004556
80,67.7895,0.82629,0.57606,0.946,0.90487,0.90013,0.9542,0.72938,0.77344,0.54123,0.90827,0.0004358,0.0004358,0.0004358
81,68.528,0.81126,0.5388,0.90256,0.90487,0.90013,0.9542,0.72938,0.77344,0.54123,0.90827,0.000416,0.000416,0.000416
82,69.3102,0.79786,0.5689,0.92633,0.90421,0.91816,0.95623,0.74454,0.73908,0.51351,0.89855,0.0003962,0.0003962,0.0003962
83,70.0383,0.72986,0.52122,0.89755,0.90421,0.91816,0.95623,0.74454,0.73908,0.51351,0.89855,0.0003764,0.0003764,0.0003764
84,70.7587,0.81112,0.55374,0.96859,0.90421,0.91816,0.95623,0.74454,0.73908,0.51351,0.89855,0.0003566,0.0003566,0.0003566
85,71.4958,0.79652,0.53876,0.905,0.90421,0.91816,0.95623,0.74454,0.73908,0.51351,0.89855,0.0003368,0.0003368,0.0003368
